#{"t_start": 1764996021.9306874, "env_id": "None"}
r,l,t
52.975,25,13.240522
53.03,14,13.240522
53.02,16,13.248668
52.975,25,13.256308
52.915,37,13.256308
52.98,24,13.272489
52.885,43,13.368375
53.04,12,13.372388
53.03,14,13.376401
53.025,15,13.382163
53.02,16,13.386177
53.03,14,13.392196
53.03,14,13.396209
53.03,14,13.404419
53.04,12,13.406418
52.935,33,13.406418
53.04,12,13.406418
53.03,14,13.426619
52.94,32,13.434643
53.01,18,13.440403
53.01,18,13.444416
51.465,67,13.462471
53.01,18,13.468488
52.92,36,13.470235
53.0,20,13.470235
53.05,10,13.486081
53.015,17,13.492099
53.0,20,13.498117
52.98,24,13.505287
53.025,15,13.510262
52.985,23,13.515262
53.03,14,13.515262
52.955,29,13.515262
52.94,32,13.532787
53.02,16,13.543669
53.01,18,13.549183
52.975,25,13.556191
52.995,21,13.562505
52.965,27,13.569505
53.005,19,13.574506
53.035,13,13.574506
53.045,11,13.574506
52.915,37,13.590354
53.03,14,13.590354
52.995,21,13.590354
53.05,10,13.590354
52.805,59,13.622657
52.78,64,13.640659
53.025,15,13.640659
53.02,16,13.649338
52.99,22,13.649338
52.895,41,13.749285
53.025,15,13.760385
53.01,18,13.762129
53.03,14,13.762129
52.985,23,13.772381
52.99,22,13.772381
53.035,13,13.772381
52.98,24,13.78856
53.025,15,13.78856
53.0,20,13.78856
53.03,14,13.804491
53.03,14,13.804491
53.025,15,13.804491
52.975,25,13.820443
53.025,15,13.820443
53.01,18,13.820443
52.97,26,13.836662
53.005,19,13.836662
52.99,22,13.84966
52.865,47,13.852829
53.015,17,13.868596
53.02,16,13.868596
53.035,13,13.868596
52.96,28,13.884713
52.1,80,13.900586
52.97,26,13.900586
52.185,43,13.916698
50.485,103,13.954241
53.005,19,13.957976
52.995,21,13.957976
53.005,19,13.973985
53.015,17,13.975989
53.025,15,13.975989
52.96,28,13.992021
53.025,15,13.996843
53.015,17,14.001966
53.005,19,14.001966
52.96,28,14.017849
53.005,19,14.017849
52.94,32,14.017849
53.045,11,14.036346
53.03,14,14.040355
52.905,39,14.139358
53.015,17,14.144343
52.94,32,14.153856
53.005,19,14.156857
53.025,15,14.156857
53.015,17,14.156857
52.99,22,14.172636
53.05,10,14.172636
53.035,13,14.172636
52.985,23,14.172636
52.97,26,14.19506
53.03,14,14.19506
52.995,21,14.19506
52.905,39,14.211239
53.03,14,14.211239
52.995,21,14.227084
53.04,12,14.230072
53.04,12,14.234082
52.99,22,14.240195
52.955,29,14.248287
53.035,13,14.252016
53.01,18,14.256968
52.955,29,14.26501
52.955,29,14.266015
53.045,11,14.266015
52.9,40,14.28183
53.03,14,14.28183
52.97,26,14.297681
52.98,24,14.297681
53.035,13,14.297681
53.015,17,14.313775
53.025,15,14.313775
53.035,13,14.313775
52.995,21,14.313775
53.035,13,14.329921
52.93,34,14.329921
53.035,13,14.329921
52.99,22,14.350417
52.985,23,14.350417
53.0,20,14.364254
53.015,17,14.369261
53.015,17,14.373269
53.0,20,14.375263
52.94,32,14.375263
53.025,15,14.391041
53.015,17,14.391041
52.925,35,14.407148
53.01,18,14.407148
53.03,14,14.407148
53.035,13,14.407148
53.035,13,14.423092
53.005,19,14.423092
53.015,17,14.517554
52.745,71,14.53937
53.05,10,14.541377
53.005,19,14.549143
53.035,13,14.552656
53.0,20,14.558676
52.98,24,14.562688
53.015,17,14.562688
53.02,16,14.562688
53.045,11,14.579198
53.025,15,14.584193
53.04,12,14.587192
52.975,25,14.594301
50.925,75,14.615313
52.125,75,14.629384
53.04,12,14.639067
53.03,14,14.639067
53.03,14,14.639067
53.035,13,14.650784
53.04,12,14.650784
53.005,19,14.654909
52.915,37,14.654909
52.99,22,14.673714
52.995,21,14.673714
53.02,16,14.673714
53.045,11,14.690113
52.9,40,14.702112
52.87,46,14.715462
53.025,15,14.719464
53.045,11,14.722467
53.045,11,14.725471
53.025,15,14.729465
52.985,23,14.736572
52.015,57,14.751005
53.045,11,14.751005
53.005,19,14.756649
53.03,14,14.756649
53.03,14,14.756649
52.99,22,14.772655
53.045,11,14.772655
53.035,13,14.772655
53.015,17,14.772655
53.03,14,14.790026
53.015,17,14.79515
53.005,19,14.800541
53.045,11,14.803535
53.015,17,14.808524
52.965,27,14.903713
53.02,16,14.907988
53.035,13,14.91195
53.04,12,14.915962
53.035,13,14.918962
53.03,14,14.921962
53.04,12,14.921962
53.045,11,14.921962
53.04,12,14.921962
52.97,26,14.938065
53.025,15,14.938065
53.05,10,14.938065
53.04,12,14.951195
53.025,15,14.95384
53.005,19,14.95384
53.04,12,14.95384
53.05,10,14.95384
53.03,14,14.96991
53.05,10,14.96991
53.045,11,14.96991
52.92,36,14.986026
53.02,16,14.992687
53.01,18,14.992687
53.03,14,14.992687
53.005,19,15.002186
52.995,21,15.002186
53.025,15,15.002186
52.98,24,15.023652
53.02,16,15.028658
52.995,21,15.031652
53.04,12,15.031652
53.015,17,15.031652
52.595,61,15.051236
53.025,15,15.063386
53.005,19,15.063386
53.0,20,15.063386
53.005,19,15.080276
53.03,14,15.082282
53.05,10,15.082282
53.025,15,15.082282
53.015,17,15.097116
52.985,23,15.10312
53.01,18,15.108119
53.01,18,15.114218
53.04,12,15.11822
53.02,16,15.122219
53.035,13,15.12622
53.03,14,15.130324
53.015,17,15.135225
53.01,18,15.140542
53.035,13,15.144686
53.01,18,15.148686
52.99,22,15.155332
52.985,23,15.15823
53.03,14,15.15823
53.02,16,15.15823
52.965,27,15.174216
53.015,17,15.174216
52.88,44,15.281492
53.05,10,15.281492
53.015,17,15.281492
52.99,22,15.281492
52.63,54,15.311238
53.05,10,15.314988
53.01,18,15.321019
52.995,21,15.321019
53.005,19,15.332143
53.01,18,15.332143
53.03,14,15.332143
53.02,16,15.347179
53.035,13,15.358703
53.03,14,15.360059
53.025,15,15.360059
53.03,14,15.360059
53.04,12,15.360059
53.0,20,15.375657
53.045,11,15.375657
53.025,15,15.375657
52.99,22,15.391471
53.035,13,15.391471
53.03,14,15.391471
53.02,16,15.391471
53.045,11,15.407279
53.01,18,15.407279
53.02,16,15.407279
52.99,22,15.423095
53.04,12,15.423095
53.01,18,15.423095
53.035,13,15.423095
53.0,20,15.439071
53.03,14,15.439071
53.005,19,15.452332
53.045,11,15.456357
53.045,11,15.459362
53.02,16,15.464479
53.045,11,15.467468
53.04,12,15.468478
53.005,19,15.468478
53.015,17,15.468478
53.025,15,15.484252
53.035,13,15.484252
53.005,19,15.484252
52.995,21,15.500388
53.005,19,15.500388
53.015,17,15.500388
52.985,23,15.516322
52.975,25,15.516322
53.01,18,15.516322
53.005,19,15.532165
53.035,13,15.532165
53.03,14,15.532165
53.035,13,15.532165
53.05,10,15.548246
53.045,11,15.551526
53.05,10,15.555251
53.02,16,15.559251
53.01,18,15.565139
53.0,20,15.574141
53.045,11,15.57714
53.02,16,15.582358
52.97,26,15.678834
53.03,14,15.681835
53.04,12,15.685838
52.985,23,15.69248
53.02,16,15.69248
52.97,26,15.69248
53.02,16,15.70919
53.0,20,15.715304
53.035,13,15.719288
53.02,16,15.723304
53.05,10,15.726466
53.03,14,15.730464
53.035,13,15.734454
53.015,17,15.738585
53.03,14,15.740594
53.025,15,15.740594
53.025,15,15.740594
53.02,16,15.756476
53.035,13,15.756476
53.05,10,15.756476
53.03,14,15.756476
53.03,14,15.756476
53.025,15,15.772282
53.04,12,15.772282
53.03,14,15.772282
53.04,12,15.772282
52.925,35,15.796739
53.025,15,15.796739
53.04,12,15.796739
53.04,12,15.796739
53.035,13,15.796739
53.03,14,15.812588
53.035,13,15.812588
53.035,13,15.812588
52.965,27,15.828495
53.035,13,15.828495
53.04,12,15.828495
53.005,19,15.828495
52.92,36,15.852676
53.01,18,15.852676
53.005,19,15.860805
53.025,15,15.860805
53.04,12,15.860805
53.01,18,15.876778
53.015,17,15.876778
53.03,14,15.876778
53.03,14,15.876778
53.03,14,15.893304
53.045,11,15.896435
53.045,11,15.900424
52.945,31,15.906424
53.02,16,15.906424
53.05,10,15.906424
53.01,18,15.906424
53.035,13,15.92224
53.025,15,15.92224
53.025,15,15.92224
53.05,10,15.92224
53.03,14,15.93801
53.03,14,15.93801
53.035,13,15.93801
53.03,14,15.93801
53.035,13,15.954146
53.01,18,15.954146
53.035,13,15.954146
53.04,12,16.05309
53.02,16,16.05309
53.005,19,16.062562
53.015,17,16.062562
53.04,12,16.062562
53.05,10,16.062562
53.03,14,16.078377
53.03,14,16.078377
53.005,19,16.078377
53.02,16,16.094249
53.045,11,16.098358
53.045,11,16.098358
53.025,15,16.098358
53.02,16,16.111931
53.03,14,16.115931
53.04,12,16.11893
53.025,15,16.122931
52.95,30,16.131275
53.045,11,16.134277
53.035,13,16.138262
53.025,15,16.140378
53.03,14,16.140378
53.025,15,16.140378
53.035,13,16.154658
53.04,12,16.156517
53.005,19,16.156517
53.035,13,16.156517
53.05,10,16.156517
53.035,13,16.173614
53.035,13,16.173614
53.03,14,16.173614
53.03,14,16.173614
53.03,14,16.189326
53.05,10,16.19394
53.025,15,16.197953
53.035,13,16.201966
53.025,15,16.20638
53.035,13,16.210277
53.04,12,16.213293
53.045,11,16.216291
53.04,12,16.219385
53.015,17,16.224707
53.035,13,16.228697
53.045,11,16.2317
53.02,16,16.236705
53.035,13,16.240572
53.02,16,16.244704
53.045,11,16.247713
53.0,20,16.253333
53.035,13,16.257449
53.025,15,16.258446
53.025,15,16.258446
53.025,15,16.258446
52.99,22,16.274381
53.005,19,16.274381
53.005,19,16.274381
53.04,12,16.290585
53.035,13,16.290585
53.015,17,16.290585
53.03,14,16.290585
53.035,13,16.306698
53.015,17,16.306698
52.85,50,16.322856
53.025,15,16.322856
53.04,12,16.322856
53.03,14,16.322856
53.035,13,16.33873
53.04,12,16.33873
53.03,14,16.435569
51.995,61,16.452702
53.04,12,16.453906
53.045,11,16.453906
53.015,17,16.453906
53.04,12,16.468505
53.025,15,16.47225
