#{"t_start": 1764687834.7812252, "env_id": "None"}
r,l,t
52.61,98,70.442891
52.61,98,70.828808
52.61,98,70.923879
52.61,98,71.003542
52.61,98,71.098914
52.61,98,71.209991
52.61,98,71.289162
52.61,98,71.400312
52.61,98,71.479741
52.61,98,71.575522
52.61,98,71.655449
52.61,98,72.021452
52.61,98,72.149193
52.61,98,72.277316
52.61,98,72.341488
52.61,98,72.405253
52.61,98,72.53291
52.61,98,72.66013
52.61,98,72.819327
52.61,98,72.962434
52.61,98,73.106473
52.61,98,73.233371
52.61,98,73.679073
52.61,98,73.789817
52.61,98,73.933173
52.61,98,74.060524
52.61,98,74.203131
52.61,98,74.329284
52.61,98,74.461293
52.605,99,74.618773
52.61,98,74.72996
52.61,98,74.841161
52.605,99,75.366677
52.61,98,75.495267
52.61,98,75.597314
52.61,98,75.734939
52.61,98,75.861923
52.61,98,76.006128
52.61,98,76.133856
52.61,98,76.291601
52.61,98,76.419824
52.61,98,76.563133
52.61,98,77.039793
52.61,98,77.182146
52.61,98,77.341716
52.61,98,77.496606
52.61,98,77.644886
52.61,98,77.836257
52.61,98,77.980087
52.61,98,78.123879
52.61,98,78.282617
52.61,98,78.392613
52.61,98,78.552797
52.61,98,78.982517
52.61,98,79.094029
52.61,98,79.20541
52.605,99,79.317306
52.61,98,79.421706
52.61,98,79.541335
52.61,98,79.636225
52.61,98,79.731004
52.61,98,79.841552
52.61,98,79.93654
52.61,98,80.349815
52.61,98,80.460982
52.61,98,80.52464
52.61,98,80.635774
52.61,98,80.729958
52.61,98,80.841424
52.61,98,80.99982
52.61,98,81.110548
52.61,98,81.190703
52.61,98,81.285896
52.61,98,81.397183
52.61,98,81.79261
52.61,98,81.887396
52.61,98,82.061296
52.61,98,82.15617
52.61,98,82.270318
52.61,98,82.377781
52.61,98,82.505072
52.61,98,82.600197
52.61,98,82.711059
52.61,98,82.805834
52.61,98,83.201113
52.61,98,83.311734
52.61,98,83.422596
52.61,98,83.517419
52.61,98,83.634286
52.61,98,83.707306
52.61,98,83.802165
52.61,98,83.912336
52.61,98,84.006769
52.61,98,84.117555
52.61,98,84.22859
52.61,98,84.720021
52.61,98,84.830769
52.61,98,84.941267
52.61,98,85.036396
52.61,98,85.147159
52.61,98,85.257218
52.61,98,85.367832
52.61,98,85.47946
52.61,98,85.590255
52.61,98,85.700855
52.61,98,86.081191
52.61,98,86.191178
52.61,98,86.351865
52.61,98,86.492612
52.61,98,86.666751
52.61,98,86.808711
52.61,98,86.966048
52.61,98,87.13973
52.61,98,87.283567
52.61,98,87.440888
52.61,98,87.599651
52.61,98,88.043677
52.61,98,88.201925
52.61,98,88.344156
52.61,98,88.502596
52.61,98,88.630289
52.61,98,88.725693
52.61,98,88.836269
52.61,98,88.946874
52.61,98,89.057506
52.61,98,89.168617
52.61,98,89.595953
52.61,98,89.707019
52.61,98,89.801999
52.61,98,89.896779
52.61,98,90.006692
52.61,98,90.08561
52.61,98,90.165364
52.61,98,90.244278
52.61,98,90.35494
52.61,98,90.434492
52.61,98,90.879187
52.61,98,90.99298
52.61,98,91.093275
52.61,98,91.193526
52.61,98,91.293842
52.61,98,91.384964
52.61,98,91.495755
52.61,98,91.594795
52.61,98,91.701286
52.61,98,91.819077
52.61,98,91.906849
52.61,98,92.301843
52.61,98,92.39725
52.605,99,92.497723
52.61,98,92.602865
52.61,98,92.745439
52.61,98,92.840365
52.61,98,92.951062
52.61,98,93.045906
52.61,98,93.140712
52.61,98,93.251514
52.61,98,93.646704
52.61,98,93.789193
52.61,98,93.901776
52.61,98,93.995862
52.61,98,94.059668
52.605,99,94.107561
52.61,98,94.155807
52.61,98,94.203568
52.61,98,94.315404
52.61,98,94.426922
52.61,98,94.521943
52.605,99,94.905093
52.61,98,95.003572
52.61,98,95.103786
52.61,98,95.240079
52.61,98,95.351421
52.61,98,95.47793
52.61,98,95.667835
52.61,98,95.841048
52.61,98,95.982799
52.61,98,96.140054
52.61,98,96.606099
52.61,98,96.710736
52.61,98,96.853927
52.61,98,96.980716
52.61,98,97.076407
52.61,98,97.218748
52.61,98,97.377554
52.61,98,97.535474
52.61,98,97.677927
52.61,98,97.819761
52.61,98,97.977702
52.61,98,98.389446
52.605,99,98.485834
52.605,99,98.628543
52.61,98,98.787916
-35.404082,7500,108.999592
52.61,98,109.140111
52.61,98,109.280181
52.61,98,109.407225
52.61,98,109.919813
52.61,98,110.058253
52.61,98,110.219463
52.61,98,110.372107
52.61,98,110.518574
52.61,98,110.654265
52.61,98,110.816385
52.61,98,110.907153
52.61,98,111.049201
52.61,98,111.192132
52.61,98,111.688454
52.61,98,111.831047
52.61,98,111.989037
52.61,98,112.146885
52.61,98,112.305903
52.61,98,112.464355
52.61,98,112.591212
52.61,98,112.749836
52.61,98,112.892421
52.61,98,113.03273
52.61,98,113.191761
52.61,98,113.736057
52.61,98,113.863435
52.61,98,114.021907
52.61,98,114.180371
52.61,98,114.33903
52.61,98,114.498045
52.61,98,114.640828
52.61,98,114.752523
52.61,98,114.831295
52.61,98,114.895064
52.61,98,115.309394
52.61,98,115.35715
52.61,98,115.484044
52.61,98,115.642514
52.61,98,115.785006
52.61,98,115.943508
52.605,99,116.086039
52.61,98,116.244457
52.61,98,116.387079
52.61,98,116.561512
52.61,98,116.719875
52.61,98,117.195496
52.61,98,117.322429
52.61,98,117.481333
52.61,98,117.63987
52.61,98,117.760412
52.61,98,117.862214
52.61,98,117.987938
52.61,98,118.147185
52.61,98,118.321783
52.61,98,118.481425
52.61,98,118.974619
52.6,100,119.118368
